,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,"SALE
PRICE",SALE DATE,lnprice
18,ALPHABET CITY,03  THREE FAMILY HOMES,1,377,66,C0, 243 EAST 7TH   STREET                     ,10009,3,0,3,2381,3084,1899,1, C0 ,3150000,2013-06-03,14.9629130108
21,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,375,62,C4, 715 EAST 5TH   STREET                     ,10009,20,0,20,2426,9345,1900,2, C4 ,3650000,2012-06-09,15.1102377256
22,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,376,30,C4, 274 EAST SEVENTH STREET                   ,10009,13,0,13,2726,13002,1910,2, C4 ,895250,2012-10-25,13.7048582879
25,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,391,55,C4, 309 EAST 8TH   STREET                     ,10009,17,0,17,2164,9071,1900,2, C4 ,3500000,2012-10-16,15.0682735265
26,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,397,33,C7, 14 AVENUE B                               ,10009,25,2,27,3574,18212,1925,2, C7 ,13185684,2013-01-31,16.3946422536
30,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,398,53,C7, 170 EAST 2ND STREET                       ,10009,36,3,39,4452,17664,1900,2, C7 ,3810602,2012-10-26,15.1532977399
31,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,56,C4, 203 EAST 4TH STREET                       ,10009,10,1,10,2404,6975,1900,2, C4 ,7333333,2013-09-04,15.8079406772
32,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,57,C4, 201 EAST 4TH STREET                       ,10009,9,1,9,2404,6875,1900,2, C4 ,7333333,2013-09-04,15.8079406772
33,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2B,400,58,C4, 199 EAST 4TH STREET                       ,10009,9,1,10,2404,7110,1900,2, C4 ,7333333,2013-09-04,15.8079406772
34,ALPHABET CITY,07  RENTALS - WALKUP APARTMENTS,2,400,60,C4, 195 EAST FOURTH STREET                    ,10009,18,2,18,2404,8975,1913,2, C4 ,7000000,2013-09-04,15.761420707
